id,year,clearance,carclass,height,length,doorscount,width,fuelconsumption,bodytype,power,cost,availabilitycount,photo,mark,model,dB_at_idle,dB_at_50kmh,dB_at_80kmh,dB_at_100kmh,dB_at_120kmh,dB_at_140kmh,X,Y
182,2010,140,D,1417,4660,4,1828,-1,SEDAN,140,750000,1,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d3223a3e483c445c5af3a0760/cattouchret,Alfa Romeo,159,,,,,,,-3.702443,5.6657376
183,2017,100,D,1426,4639,4,1873,-1,SEDAN,200,2400000,2,http://avatars.mds.yandex.net/get-verba/787013/2a000001609ef30545d76cd83aa600d41770/cattouchret,Alfa Romeo,Giulia,,,,,,,-3.9126825,8.946678
184,2014,140,C,1465,4351,5,1798,-1,HATCHBACK_5_DOORS,120,1200000,1,http://avatars.mds.yandex.net/get-verba/216201/2a000001609d613683356437fcc26fafbf6f/cattouchret,Alfa Romeo,Giulietta,,,,,,,4.4797378,11.023781
185,2017,190,J,1648,4687,5,1903,-1,ALLROAD_5_DOORS,200,2900000,1,http://avatars.mds.yandex.net/get-verba/787013/2a0000016090ad65bdc93e26ee91488fbaa3/cattouchret,Alfa Romeo,Stelvio,,,,,,,2.6998606,-11.023124
186,2010,130,B,1416,3954,3,1740,-1,HATCHBACK_3_DOORS,86,800000,2,http://avatars.mds.yandex.net/get-verba/1030388/2a000001609d043f03938248d6ae13f8a9bc/cattouchret,Audi,A1,,,,,,,15.744561,11.930652
187,2012,130,B,1422,3954,5,1746,-1,HATCHBACK_5_DOORS,122,900000,3,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d4a01a9cbe5fb547952a39d5a/cattouchret,Audi,A1,,,,,,,15.733547,12.167761
188,2013,130,B,1422,3954,5,1746,-1,HATCHBACK_5_DOORS,122,1000000,3,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d4a01a9cbe5fb547952a39d5a/cattouchret,Audi,A1,,,,,,,15.733383,12.167887
189,2014,130,B,1422,3973,5,1746,-1,HATCHBACK_5_DOORS,125,1000000,1,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d34452138baf5d01d9e80f79d/cattouchret,Audi,A1,,,,,,,15.806187,12.118596
190,2010,140,C,1423,4286,5,1765,-1,HATCHBACK_5_DOORS,105,650000,2,http://avatars.mds.yandex.net/get-verba/216201/2a000001609d67277b7ce82e6525aa4034c6/cattouchret,Audi,A3,,,,,,,5.789336,12.081891
191,2011,140,C,1423,4286,5,1765,-1,HATCHBACK_5_DOORS,105,750000,1,http://avatars.mds.yandex.net/get-verba/216201/2a000001609d67277b7ce82e6525aa4034c6/cattouchret,Audi,A3,,,,,,,5.7893615,12.08188
