car_full_id,X,Y
182_2010_Alfa Romeo_159,3.6859572,-9.442451
183_2017_Alfa Romeo_Giulia,4.348961,-11.336225
184_2014_Alfa Romeo_Giulietta,-8.756332,-13.448803
185_2017_Alfa Romeo_Stelvio,-0.021304391,10.071397
186_2010_Audi_A1,-17.604916,-5.703784
187_2012_Audi_A1,-17.784134,-5.8381786
188_2013_Audi_A1,-17.784348,-5.837974
189_2014_Audi_A1,-17.693554,-5.8766904
190_2010_Audi_A3,-10.303858,-13.868754
191_2011_Audi_A3,-10.3036375,-13.868967
192_2011_Audi_A3,-12.918573,-13.900596
193_2012_Audi_A3,-12.723194,-13.875746
194_2013_Audi_A3,-9.928379,-14.213631
195_2014_Audi_A3,-9.928379,-14.21363
196_2014_Audi_A3,-4.395598,-7.587099
197_2015_Audi_A3,-9.928377,-14.213632
198_2015_Audi_A3,-4.4322886,-7.575533
199_2016_Audi_A3,-4.441214,-7.6473365
200_2017_Audi_A3,-4.441252,-7.647476
201_2020_Audi_A3,-4.034861,-7.5594573
202_2010_Audi_A4,6.300444,-10.951121
203_2011_Audi_A4,7.998457,-11.263766
204_2012_Audi_A4,7.9984245,-11.263771
205_2013_Audi_A4,7.9984536,-11.263771
206_2014_Audi_A4,7.998454,-11.263764
207_2015_Audi_A4,6.6560154,-11.731216
208_2016_Audi_A4,6.655986,-11.7317295
209_2017_Audi_A4,6.704815,-11.70522
210_2017_Audi_A4,6.6560173,-11.731221
211_2018_Audi_A4,6.6560106,-11.7311945
212_2019_Audi_A4,7.833815,-11.857529
213_2020_Audi_A4,7.8337784,-11.857536
214_2010_Audi_A4 allroad,7.870911,-5.3462286
215_2012_Audi_A4 allroad,7.925071,-5.378393
216_2013_Audi_A4 allroad,7.9251704,-5.3786836
217_2014_Audi_A4 allroad,7.925144,-5.3785477
218_2015_Audi_A4 allroad,7.9250636,-5.3783345
219_2017_Audi_A4 allroad,8.1580515,-5.4342785
220_2010_Audi_A5,5.6750374,-12.020504
221_2010_Audi_A5,4.023403,-11.306229
222_2011_Audi_A5,5.757677,-12.051458
223_2012_Audi_A5,5.757671,-12.051459
224_2013_Audi_A5,5.7576776,-12.051457
225_2013_Audi_A5,4.1258554,-11.381947
226_2014_Audi_A5,5.7576737,-12.051458
227_2015_Audi_A5,5.757749,-12.051394
228_2016_Audi_A5,5.7943864,-12.047182
229_2016_Audi_A5,4.67394,-11.662877
230_2017_Audi_A5,4.67394,-11.662877
231_2018_Audi_A5,5.7943873,-12.047184
232_2018_Audi_A5,4.67394,-11.662879
233_2019_Audi_A5,-1.1707186,3.4606988
234_2019_Audi_A5,-1.1756793,3.4560018
235_2010_Audi_A6,16.25219,-6.213136
236_2011_Audi_A6,16.775013,-4.9218345
237_2012_Audi_A6,16.77501,-4.9218335
238_2013_Audi_A6,16.775192,-4.92142
239_2014_Audi_A6,16.894535,-4.299722
240_2015_Audi_A6,16.894522,-4.2997375
241_2016_Audi_A6,16.894527,-4.299737
242_2017_Audi_A6,16.914392,-4.100439
243_2017_Audi_A6,16.894526,-4.299735
244_2018_Audi_A6,16.964216,-4.1094923
245_2019_Audi_A6,16.964396,-4.1093287
246_2020_Audi_A6,16.964392,-4.109309
247_2010_Audi_A7,16.575182,-1.9603988
248_2011_Audi_A7,16.575136,-1.9603213
249_2012_Audi_A7,16.57513,-1.9603264
250_2013_Audi_A7,16.575138,-1.9603184
251_2014_Audi_A7,16.1388,-1.4792598
252_2015_Audi_A7,16.138796,-1.4792628
253_2016_Audi_A7,16.138935,-1.4792281
254_2019_Audi_A7,16.159292,-1.5251217
255_2010_Audi_A8,19.386297,-1.289936
